object_id,museal_number,image_url,object_url,title,ethnic_group,year,collection_date_start,collection_date_end,latitude,longitude,event_ids,description,collectors_not_cleaned,comments,legend,text_on_object,tempel/ sign,references,event_names,related_objects,relation_type,<viited>,places_not_cleaned,material_not cleaned,material_cat_not_cleaned
625472,ERM B 179:175,http://opendata.muis.ee/media-list/625472,http://opendata.muis.ee/object/625472,suurrätt,isuri,1988,,,,,6147174,,"Marika Mikkor, Mare Piho, Terje Anepaio",,,,,,,,,,Vistino külanõukogu; Kingissepa rajoon; Leningradi oblast,,tekstiil
625473,ERM B 179:176,http://opendata.muis.ee/media-list/625473,http://opendata.muis.ee/object/625473,pott,isuri,1988,,,,,"4719484, 4715521, 5719103",,"Marika Mikkor, Mare Piho, Terje Anepaio",,,,,,,,,,Vistino külanõukogu; Kingissepa rajoon; Leningradi oblast,savi,keraamika
625477,ERM B 179:174,http://opendata.muis.ee/media-list/625477,http://opendata.muis.ee/object/625477,"aluspesu, aluspüksid, naiste",isuri,1988,,,,,"6147159, 6147167",,"Marika Mikkor, Mare Piho, Terje Anepaio",,,,,,valmistaja,,,,Vistino külanõukogu; Kingissepa rajoon; Leningradi oblast,,tekstiil
625479,ERM B 179:177,http://opendata.muis.ee/media-list/625479,http://opendata.muis.ee/object/625479,pott,soome,1988,,,,,"4719486, 5741157, 4719484, 4715521",,"Marika Mikkor, Mare Piho, Terje Anepaio",,Oli piima hoidmiseks.,,,,,,,,Kirjamo küla; Kingissepa rajoon; Leningradi oblast,savi,keraamika
625481,ERM B 179:178,http://opendata.muis.ee/media-list/625481,http://opendata.muis.ee/object/625481,korv,soome,1988,,,,,"4719495, 4719496, 4715521, 5741158",,"Marika Mikkor, Mare Piho, Terje Anepaio",,,,,,,,,,Konnu küla; Kingissepa rajoon; Leningradi oblast,kuusk,puit
625482,ERM B 179:179,http://opendata.muis.ee/media-list/625482,http://opendata.muis.ee/object/625482,korv,soome,1988,,,,,"5741159, 4719495, 4715521, 4719496",,"Marika Mikkor, Mare Piho, Terje Anepaio",,,,,,,,,,Konnu küla; Kingissepa rajoon; Leningradi oblast,kuusk,puit
625483,ERM B 188:7/ab,http://opendata.muis.ee/media-list/625483,http://opendata.muis.ee/object/625483,viisupaelad,udmurdi,1989,1989-06-04,1989-06-12,,,"4566612, 4566617, 5730781, 4722081",,Aleksei Peterson,,Marfa Melnikova kandis veel viiske 1957 aastal.,,,,valmistaja | jalatsid,,,,Malaja Purga rajoon; Udmurdi ANSV,,tekstiil
625484,ERM B 188:8,http://opendata.muis.ee/media-list/625484,http://opendata.muis.ee/object/625484,käterätt,udmurdi,1989,1989-06-04,1989-06-12,,,"2254098, 2254083, 4722081, 5744127, 2254101, 2254092",,Aleksei Peterson,"Kogu etnograafilisi esemeid. Kogus ERM-i direktor Aleksei Peterson Udmurdi ANSV Izevski linn, Malaja Purga rajoonis 4.-12.VI. 1989.a. Kataloogis vanemteadur Medea Kõrv novembris 1990.a. Verif.: v.v.akt 1989:53; k/r 370.","""Tegi omale kaasavaraks.""",,,,koguja | valmistaja | valmistaja,,,,"Udmurdi ANSV, Izevski linn, Malaja Purga rajoon","lina, puuvill, vabrikupits (riidesort)",tekstiil
625485,ERM B 188:9,http://opendata.muis.ee/media-list/625485,http://opendata.muis.ee/object/625485,käterätt,udmurdi,1989,1989-06-04,1989-06-12,,,"5702816, 4722081, 2254098, 2254083, 2254101, 2254092",,Aleksei Peterson,"Kogu etnograafilisi esemeid. Kogus ERM-i direktor Aleksei Peterson Udmurdi ANSV Izevski linn, Malaja Purga rajoonis 4.-12.VI. 1989.a. Kataloogis vanemteadur Medea Kõrv novembris 1990.a. Verif.: v.v.akt 1989:53; k/r 370.","""Tegi kaasavaraks.""",,,,koguja | valmistaja | valmistaja,,,,"Udmurdi ANSV, Izevski linn, Malaja Purga rajoon","lina, puuvill",tekstiil
625486,ERM B 188:10,http://opendata.muis.ee/media-list/625486,http://opendata.muis.ee/object/625486,käterätt,udmurdi,1989,1989-06-04,1989-06-12,,,"2254101, 5728135, 2254083, 4722081, 2254092, 2254098",,Aleksei Peterson,"Kogu etnograafilisi esemeid. Kogus ERM-i direktor Aleksei Peterson Udmurdi ANSV Izevski linn, Malaja Purga rajoonis 4.-12.VI. 1989.a. Kataloogis vanemteadur Medea Kõrv novembris 1990.a. Verif.: v.v.akt 1989:53; k/r 370.",,,,,valmistaja | koguja | valmistaja,,,,"Udmurdi ANSV, Izevski linn, Malaja Purga rajoon","lina, puuvill, vill",tekstiil
