object_id,museaali_number,eseme_nimi,material,material_category
524029,ERM B 216:3,nukk,,tekstiil
524029,ERM B 216:3,nukk,,tekstiil
524030,ERM B 216:4,nukk,,tekstiil
524030,ERM B 216:4,nukk,,tekstiil
524030,ERM B 216:4,nukk,,tekstiil
524030,ERM B 216:4,nukk,,tekstiil
524031,ERM B 216:5,nukk,,tekstiil
524031,ERM B 216:5,nukk,,tekstiil
524031,ERM B 216:5,nukk,,tekstiil
524031,ERM B 216:5,nukk,,tekstiil
524032,ERM B 216:6,nukk,,tekstiil
524032,ERM B 216:6,nukk,,tekstiil
524032,ERM B 216:6,nukk,,tekstiil
524033,ERM B 216:7,nukk,,tekstiil
524033,ERM B 216:7,nukk,,tekstiil
524033,ERM B 216:7,nukk,,tekstiil
524034,ERM B 216:8,nukk,,tekstiil
524034,ERM B 216:8,nukk,,tekstiil
524034,ERM B 216:8,nukk,,tekstiil
524035,ERM B 216:9,nukk,,tekstiil
524035,ERM B 216:9,nukk,,tekstiil
524035,ERM B 216:9,nukk,,tekstiil
524035,ERM B 216:9,nukk,,tekstiil
524438,ERM B 216:11,tubakakott,,tekstiil
524438,ERM B 216:11,tubakakott,,
524438,ERM B 216:11,tubakakott,,
524441,ERM B 216:12,rinnaehe,,
524441,ERM B 216:12,rinnaehe,,
524441,ERM B 216:12,rinnaehe,helmed,klaas
524441,ERM B 216:12,rinnaehe,pärl,luu
524445,ERM B 216:13,käsitöökott,karusnahk,nahk
524445,ERM B 216:13,käsitöökott,,nahk
524445,ERM B 216:13,käsitöökott,nahk,nahk
524687,ERM B 226:1/ab1-2c,paberinuga karbi ja kaaskirjaga,,paber
524687,ERM B 226:1/ab1-2c,paberinuga karbi ja kaaskirjaga,,plastik
524687,ERM B 226:1/ab1-2c,paberinuga karbi ja kaaskirjaga,,plastik
524687,ERM B 226:1/ab1-2c,paberinuga karbi ja kaaskirjaga,metall,metall
524687,ERM B 226:1/ab1-2c,paberinuga karbi ja kaaskirjaga,,metall
524687,ERM B 226:1/ab1-2c,paberinuga karbi ja kaaskirjaga,paber,paber
524687,ERM B 226:1/ab1-2c,paberinuga karbi ja kaaskirjaga,plast,plastik
524794,ERM B 221:2,põhjapõdrakammits,puit,puit
525187,ERM B 221:3,põhjapõdrakammits,puit,puit
525920,ERM B 217:2,dekoratiivne taldrik,puit,puit
526325,ERM B 222:1/ab,sukad,lõng,tekstiil
526325,ERM B 222:1/ab,sukad,sünteetika,tekstiil
526325,ERM B 222:1/ab,sukad,vill,tekstiil
526326,ERM B 222:2/ab,kindad,,tekstiil
526326,ERM B 222:2/ab,kindad,vill,tekstiil
526326,ERM B 222:2/ab,kindad,vill,tekstiil
526326,ERM B 222:2/ab,kindad,vill,tekstiil
526327,ERM B 222:3,koonlapuu,puit,puit
526328,ERM B 222:4,kangaspuu detail,puit,puit
526329,ERM B 222:5,ropsimõõk,puit,puit
526330,ERM B 222:6,peitel,,
526330,ERM B 222:6,peitel,metall,metall
526330,ERM B 222:6,peitel,puit,puit
526330,ERM B 222:6,peitel,,
526331,ERM B 222:7,"vöö, jahimehe",,
526331,ERM B 222:7,"vöö, jahimehe",nahk,nahk
526331,ERM B 222:7,"vöö, jahimehe",puit,puit
526331,ERM B 222:7,"vöö, jahimehe",,nahk
526331,ERM B 222:7,"vöö, jahimehe",sarv,luu
526331,ERM B 222:7,"vöö, jahimehe",,nahk
526331,ERM B 222:7,"vöö, jahimehe",,nahk
526331,ERM B 222:7,"vöö, jahimehe",vask,metall
526332,ERM B 222:8,"jahipaelad, komplekt",jõhv,
526332,ERM B 222:8,"jahipaelad, komplekt",,
526332,ERM B 222:8,"jahipaelad, komplekt",pael,tekstiil
526332,ERM B 222:8,"jahipaelad, komplekt",puit,puit
526333,ERM B 222:9,tass,savi,keraamika
526334,ERM B 222:10,taldrik,savi,keraamika
526335,ERM B 222:11,kangaspuude detail,puit,puit
526336,ERM B 222:12,käised,pits,tekstiil
526336,ERM B 222:12,käised,puuvill,tekstiil
526337,ERM B 222:13,soonesaag,metall,metall
526337,ERM B 222:13,soonesaag,,
526337,ERM B 222:13,soonesaag,puit,puit
526337,ERM B 222:13,soonesaag,,metall
526338,ERM B 222:14,pinal,puit,puit
526338,ERM B 222:14,pinal,vineer,puit
526581,ERM B 226:13,riiulikardin,ornament,tekstiil
526581,ERM B 226:13,riiulikardin,,tekstiil
