object_id,best_place,place_precision,country,region,region_est,region_eng,rajon,rajon_est,rajon_eng,village,lat,lon,has_coordinates,koht,modern_region_est,modern_region_eng,modern_rajon_est,modern_rajon_eng,normalization_status,normalization_note,normalization_source,map_precision,lookup_id
520196,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
520603,Šereganovo küla,küla,Venemaa,Mari ANSV,Mari ANSV,Mari ANSV,Morki rajoon,Morki rajoon,Morki rajoon,Šereganovo küla,52392.0,,False,Šereganovo küla; Morko rajoon; Mari ANSV; Venemaa,Mari El Vabariik,Mari El Republic,,,valmis,lookup:PL1321,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,region,PL1321
520617,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
521055,Knjazpogostski rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Knjazpogostski rajoon,Knjazpogostski rajoon,Knjazpogostski rajoon,,,,False,Knjazpogostski rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Knjažpogostski rajoon,Knyazhpogostsky District,valmis,lookup:PL0145,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0145
521362,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi rajoon,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Kulomi rajoon,Ust-Kulomsky District,valmis,lookup:PL0186,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0186
521363,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi rajoon,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Kulomi rajoon,Ust-Kulomsky District,valmis,lookup:PL0186,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0186
521366,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi rajoon,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Kulomi rajoon,Ust-Kulomsky District,valmis,lookup:PL0186,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0186
521368,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi rajoon,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Kulomi rajoon,Ust-Kulomsky District,valmis,lookup:PL0186,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0186
521370,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi rajoon,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Kulomi rajoon,Ust-Kulomsky District,valmis,lookup:PL0186,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0186
521371,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi rajoon,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Kulomi rajoon,Ust-Kulomsky District,valmis,lookup:PL0186,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0186
521372,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi rajoon,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Kulomi rajoon,Ust-Kulomsky District,valmis,lookup:PL0186,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0186
