object_id,material,material_category
555906,tekstiil,tekstiil
557262,saviglasuur,keraamika
557272,savi,keraamika
557695,puit,puit
563425,lina,tekstiil
563425,puuvill,tekstiil
563747,tekstiil,tekstiil
563747,toimne riie,tekstiil
563747,linane,tekstiil
563759,lõng,tekstiil
563759,sünteetika,tekstiil
563759,villane,tekstiil
585979,kask,puit
585979,nahk,puit
585979,pael,puit
585979,puit,puit
585979,ripats,puit
585979,tekstiil,puit
585979,toht,puit
585979,vask,puit
585980,puit,puit
585981,kask,puit
585981,nahk,puit
585981,pael,puit
585981,puit,puit
585981,toht,puit
585981,traat,puit
585981,vask,puit
585982,karv,nahk
585982,nahk,nahk
587814,lina,tekstiil
587814,puuvillane,tekstiil
587815,lina,tekstiil
587815,puuvill,tekstiil
587817,helmed,metall
587817,kivim,metall
587817,klaas,metall
587817,kuljused,metall
587817,linane,metall
587817,metall,metall
587817,niit,metall
587817,nööp,metall
588412,puit,puit
588413,puit,puit
588415,niin,puit
588416,lõng,tekstiil
588416,villane,tekstiil
588417,kude,tekstiil
588417,linane,tekstiil
588417,lõim,tekstiil
588417,puuvillane,tekstiil
588417,tekstiil,tekstiil
588418,metall,metall
588418,pronks,metall
588418,oksüdeeritud,metall
588419,metall,metall
588419,pronks,metall
588419,oksüdeeritud,metall
588420,painutatud vasktraat,metall
588420,vask,metall
588422,laiendis,metall
588422,vask,metall
592808,puuvill,tekstiil
592809,tekstiil,tekstiil
592810,metall,metall
592816,lõng,tekstiil
592816,vill,tekstiil
592816,villane,tekstiil
592818,kunstkiudmaterjal,tekstiil
592818,põhivärv - kirsipunane,tekstiil
592818,muster - hall,tekstiil
592818,valge,tekstiil
592818,kollane,tekstiil
592818,punane,tekstiil
592818,roosa,tekstiil
592818,roheline,tekstiil
592818,vill,tekstiil
592818,villane,tekstiil
592819,lõng,tekstiil
592819,vill,tekstiil
592819,villane,tekstiil
592820,lõng,tekstiil
592820,vill,tekstiil
592820,villane,tekstiil
592821,valge-pruun pikitriibuline silmkude,tekstiil
592821,vill,tekstiil
592821,villane,tekstiil
596931,puit,puit
596932,puit,puit
596933,puit,puit
596934,puit,puit
599952,jalased,puit
599952,nahk,puit
599952,puit,puit
599952,raud,puit
599952,toht,puit
599952,võru,puit
599952,rake,puit
612334,okaspuit,puit
612335,savi,keraamika
612336,lõng,tekstiil
612336,villane,tekstiil
612339,savi,keraamika
612340,kask,puit
612340,vineer,puit
612341,lõng,tekstiil
612341,villane,tekstiil
612342,lõng,tekstiil
612342,villane,tekstiil
612343,lõng,tekstiil
612343,villane,tekstiil
612344,kask,puit
612344,metall,metall
612346,raud,metall
612347,lõng,tekstiil
612347,lõng,tekstiil
612347,villane,tekstiil
612348,lõng,tekstiil
612348,,tekstiil
612348,villane,tekstiil
612351,kuusk,puit
612352,mänd,puit
612357,raud,metall
612358,kask,puit
612358,puuvill,puit
612358,võrk,puit
612359,kask,puit
612359,raud,metall
612360,kask,puit
612360,raud,puit
