object_id,best_place,place_precision,country,region,rajon,village,lat,lon,has_coordinates,koht
524028,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524029,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524030,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524031,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524032,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524033,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524034,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524035,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524437,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524438,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524441,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524445,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
524722,Petseri linn,küla,992,,,Petseri linn,992.0,,False,Petseri linn
